product_id,product_name,main_category,sub_category,discounted_price,actual_price,discount_pct,rating,rating_count,popularity_score
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,"HomeTheater,TV&Video",219.0,700.0,69.0,4.4,426973,1878681.0
B014I8SSD0,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",Electronics,"HomeTheater,TV&Video",309.0,475.0,35.0,4.4,426973,1878681.0
B014I8SX4Y,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",Electronics,"HomeTheater,TV&Video",309.0,1400.0,78.0,4.4,426973,1878681.0
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,"HomeTheater,TV&Video",219.0,700.0,69.0,4.4,426972,1878677.0
B07GPXXNNG,boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),Electronics,"Headphones,Earbuds&Accessories",349.0,999.0,65.0,4.1,363713,1491223.0
B07GQD4K6L,boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),Electronics,"Headphones,Earbuds&Accessories",379.0,999.0,62.0,4.1,363713,1491223.0
B071Z8M4KX,boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black),Electronics,"Headphones,Earbuds&Accessories",365.0,999.0,63.0,4.1,363711,1491215.0
B09GFLXVH9,"Redmi 9A Sport (Coral Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",Electronics,Mobiles&Accessories,6499.0,8499.0,24.0,4.1,313836,1286728.0
B09GFPVD9Y,"Redmi 9 Activ (Carbon Black, 4GB RAM, 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery",Electronics,Mobiles&Accessories,8499.0,10999.0,23.0,4.1,313836,1286728.0
B09GFM8CGS,"Redmi 9A Sport (Carbon Black, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",Electronics,Mobiles&Accessories,6499.0,7999.0,19.0,4.1,313832,1286711.0
B09GFPN6TP,"Redmi 9A Sport (Coral Green, 3GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",Electronics,Mobiles&Accessories,7499.0,9499.0,21.0,4.1,313832,1286711.0
B01MF8MB65,boAt Bassheads 225 in Ear Wired Earphones with Mic(Blue),Electronics,"Headphones,Earbuds&Accessories",699.0,999.0,30.0,4.1,273189,1120075.0
B01LWYDEQ7,"Pigeon Polypropylene Mini Handy and Compact Chopper with 3 Blades for Effortlessly Chopping Vegetables and Fruits for Your Kitchen (12420, Green, 400 ml)",Home&Kitchen,Kitchen&Dining,199.0,495.0,60.0,4.1,270563,1109308.0
B005FYNT3G,SanDisk Cruzer Blade 32GB USB Flash Drive,Computers&Accessories,ExternalDevices&DataStorage,289.0,650.0,56.0,4.3,253105,1088352.0
B09X7DY7Q4,SanDisk Extreme SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 170MB/s Read & 80MB/s Write,Electronics,Accessories,939.0,1800.0,48.0,4.5,205052,922734.0
B01N6LU1VF,SanDisk Ultra Dual 64 GB USB 3.0 OTG Pen Drive (Black),Computers&Accessories,ExternalDevices&DataStorage,579.0,1400.0,59.0,4.3,189104,813147.0
B01DEWVZ2C,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",Electronics,"Headphones,Earbuds&Accessories",599.0,999.0,40.0,4.1,192590,789619.0
B01DF26V7A,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Premium Metallic Finish, Angled Buds for Comfort fit (Red)",Electronics,"Headphones,Earbuds&Accessories",599.0,1299.0,54.0,4.1,192589,789615.0
B01DEWVZ2C,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",Electronics,"Headphones,Earbuds&Accessories",599.0,999.0,40.0,4.1,192587,789607.0
B08HVL8QN3,"Mi 10000mAH Li-Polymer, Micro-USB and Type C Input Port, Power Bank 3i with 18W Fast Charging (Midnight Black)",Electronics,Mobiles&Accessories,1149.0,2199.0,48.0,4.3,178912,769322.0
